Section,System,Location,Component,Material,Condition,Comment
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Steel,Safety Hazard,Sharp edges from damaged steel components creating laceration hazards.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Steel,Safety Hazard,Emergency structural assessment required before area access permitted.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Steel,Safety Hazard,Area restriction required until structural integrity verified.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Steel,Access Restricted,Inspection limited by specialized equipment requirements for steel evaluation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Acceptable,Segmental block retaining wall properly constructed with interlocking units.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Acceptable,Drainage aggregate and filter fabric functioning properly behind wall.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Acceptable,Cap units properly installed providing finished appearance and protection.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Acceptable,Block units properly aligned with manufacturer specified setback and batter.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Acceptable,Block interlock connections secure with proper unit overlap.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Monitor,Minor drainage issues behind wall; monitor for water accumulation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Monitor,Retaining Wall Component showing expected wear for age; monitor condition regularly.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Monitor,Monitor backfill settlement and compaction behind wall units.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Monitor,Early stage deterioration observed; monitor and document changes.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Monitor,Monitor geogrid condition where installed in reinforced walls.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Repair/Replace,Geogrid damage or failure requiring reinforcement replacement.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Repair/Replace,Cap unit failure requiring replacement and proper attachment.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Repair/Replace,Foundation settlement requiring leveling and wall reconstruction.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Safety Hazard,Loose blocks creating falling hazard requiring immediate securing.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Safety Hazard,Immediate repair required to prevent catastrophic segmental wall failure.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Safety Hazard,Area cordoning required until block wall integrity and stability verified.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Segmental Block,Access Restricted,Specialized segmental block engineering consultation required for evaluation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Acceptable,Installation meets manufacturer specifications and engineering design.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Acceptable,Backfill soil properly compacted and graded per geotechnical specifications.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Acceptable,Geogrid or geotextile reinforcement properly installed per engineering specifications.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Acceptable,Wall provides effective soil retention with proper structural performance.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Acceptable,Wall height and design comply with engineering requirements and IRC standards.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Monitor,Minor wear or aging noted; monitor for progression over time.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Monitor,Slight gaps at panel joints; monitor connection integrity and sealing.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Monitor,Monitor panel connection hardware and fastener condition.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Monitor,Monitor geosynthetic reinforcement condition and integrity over time.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Monitor,Monitor backfill settlement and compaction behind reinforced structure.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Repair/Replace,Reinforcement pullout or failure requiring engineering redesign and repair.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Repair/Replace,Drainage system failure requiring correction and proper installation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Repair/Replace,Safety-critical defect requires urgent corrective action.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Safety Hazard,Emergency geotechnical assessment required before area access permitted.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Safety Hazard,Area cordoning required until reinforcement integrity and stability verified.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Safety Hazard,Geosynthetic failure creating imminent collapse risk requiring evacuation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Reinforced Earth,Access Restricted,Professional assessment coordination required for comprehensive MSE evaluation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Acceptable,Basket connections secure with proper wire ties and spiral fasteners.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Acceptable,Wire mesh baskets intact with no corrosion or damage to coating.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Acceptable,Foundation adequate for gabion wall loading per geotechnical specifications.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Acceptable,Wall height and design comply with IRC and engineering requirements.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Acceptable,Geotextile filter fabric properly installed behind baskets where specified.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Monitor,Minor wire corrosion or coating wear observed; monitor for progression.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Monitor,Monitor environmental effects on galvanized wire coating performance.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Monitor,Monitor stone quality and degradation within basket enclosures.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Monitor,Monitor compliance with manufacturer specifications and design requirements.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Monitor,Minor displacement between basket units; monitor connection integrity.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Repair/Replace,Geotextile fabric failure requiring replacement and proper installation.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Repair/Replace,Wire mesh baskets damaged requiring repair or basket replacement.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Repair/Replace,Drainage system behind wall compromised requiring correction and repair.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Safety Hazard,Loose stones falling from damaged baskets present injury risk.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Safety Hazard,Emergency structural assessment required before area access permitted.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Safety Hazard,Foundation failure compromising gabion wall stability and safety.
Exterior Grounds,Retaining Wall,Null,Retaining Wall Component,Gabion,Access Restricted,Gabion wall not fully visible due to vegetation or debris.
Exterior Grounds,Fences,Null,Fence,Iron,Acceptable,Fence design complements property aesthetics appropriately.
Exterior Grounds,Fences,Null,Fence,Iron,Acceptable,Installation provides effective boundary definition and security features.
Exterior Grounds,Fences,Null,Fence,Iron,Acceptable,Installation meets manufacturer specifications for wind and load resistance.
Exterior Grounds,Fences,Null,Fence,Iron,Acceptable,Fence panels properly aligned and securely attached to posts with corrosion-resistant hardware.
Exterior Grounds,Fences,Null,Fence,Iron,Acceptable,Iron fence installation meets property boundary and security requirements.
Exterior Grounds,Fences,Null,Fence,Iron,Monitor,Gate alignment slightly affected by settling; monitor hardware adjustment needs.
Exterior Grounds,Fences,Null,Fence,Iron,Monitor,Slight panel movement or settling noted; monitor post stability.
Exterior Grounds,Fences,Null,Fence,Iron,Monitor,Minor surface rust or coating wear noted; monitor finish condition.
Exterior Grounds,Fences,Null,Fence,Iron,Monitor,Early stage deterioration observed; monitor and document changes.
Exterior Grounds,Fences,Null,Fence,Iron,Monitor,Post showing minor movement; monitor foundation stability per IRC R403.1.4.
Exterior Grounds,Fences,Null,Fence,Iron,Repair/Replace,Foundation settlement affecting fence stability; repair needed per IRC R403.1.4.
Exterior Grounds,Fences,Null,Fence,Iron,Repair/Replace,Bent or damaged panels require straightening or replacement.
Exterior Grounds,Fences,Null,Fence,Iron,Repair/Replace,Weld failures requiring professional metalwork repair.
Exterior Grounds,Fences,Null,Fence,Iron,Safety Hazard,Post failure creates fence collapse dangers requiring immediate attention.
Exterior Grounds,Fences,Null,Fence,Iron,Safety Hazard,Professional metalwork repair needed for safety restoration.
Exterior Grounds,Fences,Null,Fence,Iron,Safety Hazard,Loose pickets or panels present falling hazards and injury risks.
Exterior Grounds,Fences,Null,Fence,Iron,Access Restricted,Adjacent construction activities limiting fence inspection access.
Exterior Grounds,Fences,Null,Fence,Composite,Acceptable,Composite finish in good condition with minimal UV fading.
Exterior Grounds,Fences,Null,Fence,Composite,Acceptable,Installation meets manufacturer specifications for climate zone.
Exterior Grounds,Fences,Null,Fence,Composite,Acceptable,Low maintenance requirements with durable composite construction.
Exterior Grounds,Fences,Null,Fence,Composite,Acceptable,Fasteners appropriate for composite material expansion and contraction.
Exterior Grounds,Fences,Null,Fence,Composite,Acceptable,Thermal expansion gaps properly accommodated in design.
Exterior Grounds,Fences,Null,Fence,Composite,Monitor,Monitor thermal movement effects on hardware and connections.
Exterior Grounds,Fences,Null,Fence,Composite,Monitor,Monitor drainage effectiveness around post installations.
Exterior Grounds,Fences,Null,Fence,Composite,Monitor,Minor wear or aging noted; monitor for progression over time.
Exterior Grounds,Fences,Null,Fence,Composite,Monitor,Slight warping at panel ends; monitor for worsening.
Exterior Grounds,Fences,Null,Fence,Composite,Monitor,Slight color fading from UV exposure; monitor deterioration rate.
Exterior Grounds,Fences,Null,Fence,Composite,Repair/Replace,Excessive mold growth requires cleaning and possible panel replacement.
Exterior Grounds,Fences,Null,Fence,Composite,Repair/Replace,Fence failure requires immediate repair to restore function.
Exterior Grounds,Fences,Null,Fence,Composite,Repair/Replace,UV damage compromising structural integrity; replacement needed.
Exterior Grounds,Fences,Null,Fence,Composite,Safety Hazard,Post failure creates fence collapse dangers.
Exterior Grounds,Fences,Null,Fence,Composite,Safety Hazard,Split or cracked composite with sharp edges present injury risk.
Exterior Grounds,Fences,Null,Fence,Composite,Safety Hazard,Protruding fasteners or hardware create puncture risks.
Exterior Grounds,Fences,Null,Fence,Composite,Access Restricted,Vegetation blocking access to fence for proper inspection.
Exterior Grounds,Fences,Null,Fence,Bamboo,Acceptable,Bamboo treatment appropriate for exterior use and insect resistance.
Exterior Grounds,Fences,Null,Fence,Bamboo,Acceptable,Natural bamboo finish in good condition with minimal weathering.
Exterior Grounds,Fences,Null,Fence,Bamboo,Acceptable,Installation meets sustainable and eco-friendly design goals.
Exterior Grounds,Fences,Null,Fence,Bamboo,Acceptable,Fence height meets local codes and aesthetic requirements.
Exterior Grounds,Fences,Null,Fence,Bamboo,Acceptable,Natural variation in bamboo color and texture adds aesthetic appeal.
Exterior Grounds,Fences,Null,Fence,Bamboo,Monitor,Minor weathering or color change noted; monitor natural aging.
Exterior Grounds,Fences,Null,Fence,Bamboo,Monitor,Minor wear or aging noted; monitor for progression over time.
Exterior Grounds,Fences,Null,Fence,Bamboo,Monitor,Hardware showing wear from bamboo expansion; monitor and adjust.
Exterior Grounds,Fences,Null,Fence,Bamboo,Monitor,Fence showing expected wear for age; monitor condition regularly.
Exterior Grounds,Fences,Null,Fence,Bamboo,Monitor,Monitor for mold or mildew development in humid conditions.
Exterior Grounds,Fences,Null,Fence,Bamboo,Repair/Replace,Post instability requires reinforcement or replacement.
Exterior Grounds,Fences,Null,Fence,Bamboo,Repair/Replace,Complete replacement recommended due to extensive deterioration.
Exterior Grounds,Fences,Null,Fence,Bamboo,Repair/Replace,Significant splitting or cracking requires panel replacement.
Exterior Grounds,Fences,Null,Fence,Bamboo,Safety Hazard,Fire hazard from dry deteriorated bamboo material.
Exterior Grounds,Fences,Null,Fence,Bamboo,Safety Hazard,Split bamboo creating sharp edges and splinter hazards.
Exterior Grounds,Fences,Null,Fence,Bamboo,Safety Hazard,Structural instability from deterioration requires immediate attention.
Exterior Grounds,Fences,Null,Fence,Bamboo,Access Restricted,Construction activities preventing bamboo fence inspection.
Exterior Grounds,Fences,Null,Fence,Stone,Acceptable,Stone fence installation meets property boundary and aesthetic requirements.
Exterior Grounds,Fences,Null,Fence,Stone,Acceptable,Fence height meets local codes and design requirements.
Exterior Grounds,Fences,Null,Fence,Stone,Acceptable,Drainage properly addressed around stone foundation per IRC R401.3.
Exterior Grounds,Fences,Null,Fence,Stone,Acceptable,Installation provides effective permanent boundary definition.
Exterior Grounds,Fences,Null,Fence,Stone,Acceptable,Stone fence complements property architecture and landscaping.
Exterior Grounds,Fences,Null,Fence,Stone,Monitor,Early signs of efflorescence or mineral deposits; monitor and treat.
Exterior Grounds,Fences,Null,Fence,Stone,Monitor,Minor vegetation growth in joints; monitor and remove.
Exterior Grounds,Fences,Null,Fence,Stone,Monitor,Surface weathering or color variation developing; monitor progression.
Exterior Grounds,Fences,Null,Fence,Stone,Monitor,Monitor freeze-thaw effects on mortar and stone integrity.
Exterior Grounds,Fences,Null,Fence,Stone,Monitor,Minor wear or aging noted; monitor for progression over time.
Exterior Grounds,Fences,Null,Fence,Stone,Repair/Replace,Repair required to maintain structural integrity and safety.
Exterior Grounds,Fences,Null,Fence,Stone,Repair/Replace,Foundation settlement requiring professional masonry repair.
Exterior Grounds,Fences,Null,Fence,Stone,Repair/Replace,Drainage correction needed per IRC R401.3 to prevent damage.
Exterior Grounds,Fences,Null,Fence,Stone,Safety Hazard,Foundation failure creating immediate collapse risk.
Exterior Grounds,Fences,Null,Fence,Stone,Safety Hazard,Mortar failure compromising overall structural integrity.
Exterior Grounds,Fences,Null,Fence,Stone,Safety Hazard,Sharp edges from damaged stones present cutting hazards.
Exterior Grounds,Fences,Null,Fence,Stone,Access Restricted,Access restrictions preventing complete masonry evaluation.
Exterior Grounds,Fences,Null,Fence,Split Rail,Acceptable,Split rail fence installation meets property boundary and rustic aesthetic goals.
Exterior Grounds,Fences,Null,Fence,Split Rail,Acceptable,Post and rail joinery provides adequate structural connection.
Exterior Grounds,Fences,Null,Fence,Split Rail,Acceptable,Installation meets manufacturer specifications for durability.
Exterior Grounds,Fences,Null,Fence,Split Rail,Acceptable,All posts secure and properly anchored with adequate depth per IRC R403.1.4.
Exterior Grounds,Fences,Null,Fence,Split Rail,Acceptable,Installation provides effective boundary marking and containment.
Exterior Grounds,Fences,Null,Fence,Split Rail,Monitor,Early stage deterioration observed; monitor and document changes.
Exterior Grounds,Fences,Null,Fence,Split Rail,Monitor,Ground level changes affecting post stability; monitor and adjust.
Exterior Grounds,Fences,Null,Fence,Split Rail,Monitor,Minor wear or aging noted; monitor for progression over time.
Exterior Grounds,Fences,Null,Fence,Split Rail,Monitor,Fence showing expected wear for age; monitor condition regularly.
Exterior Grounds,Fences,Null,Fence,Split Rail,Monitor,Minor weathering or surface checking noted; monitor wood condition.
Exterior Grounds,Fences,Null,Fence,Split Rail,Repair/Replace,Broken or split rails need replacement for structural integrity.
Exterior Grounds,Fences,Null,Fence,Split Rail,Repair/Replace,Safety-critical defect requires urgent corrective action.
Exterior Grounds,Fences,Null,Fence,Split Rail,Repair/Replace,Weather damage compromising fence function; repair needed.
Exterior Grounds,Fences,Null,Fence,Split Rail,Safety Hazard,Protruding nails or hardware creating puncture risks.
Exterior Grounds,Fences,Null,Fence,Split Rail,Safety Hazard,Unstable posts presenting fence collapse dangers.
Exterior Grounds,Fences,Null,Fence,Split Rail,Safety Hazard,Immediate repair required for safety and containment function.
Exterior Grounds,Fences,Null,Fence,Split Rail,Access Restricted,Split rail fence not accessible due to terrain or vegetation.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Acceptable,Color and texture consistent throughout surface area.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Acceptable,Seasonal maintenance requirements manageable.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Acceptable,Edge restraints secure and prevent gravel migration.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Acceptable,Transitions to other surfaces properly managed.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Acceptable,No excessive dust or fine particle migration.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Monitor,Monitor for fabric underlayment integrity where installed.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Monitor,Edge restraint beginning to shift; monitor and adjust.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Monitor,Early weed growth in gravel; monitor and treat.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Monitor,Minor settling or compaction loss; monitor and top-dress.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Monitor,Patio Surface showing expected wear for age; monitor condition regularly.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Repair/Replace,Professional assessment needed for persistent drainage issues.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Repair/Replace,Significant settling requires re-grading and fresh gravel.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Repair/Replace,Restore proper grade to meet IRC R401.3 drainage standards.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Safety Hazard,Accessibility issues for mobility devices and ADA compliance.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Safety Hazard,Sharp stone edges or inappropriate gravel type causing injury.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Safety Hazard,Immediate maintenance required for safe pedestrian access.
Exterior Grounds,Patio,Null,Patio Surface,Gravel,Access Restricted,Safety concerns prevented close inspection of surface.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Acceptable,Base preparation adequate for rubber surface longevity.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Acceptable,Color remains consistent with minimal UV fading.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Acceptable,Installation follows manufacturer specifications for climate zone.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Acceptable,Impact absorption properties function as intended.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Acceptable,Edge sealing and transitions properly completed for water resistance.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Monitor,Early edge lifting or separation; monitor and reseal.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Monitor,Minor surface scuffing or marking; monitor for progression.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Monitor,Patio Surface showing expected wear for age; monitor condition regularly.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Monitor,Early stage deterioration observed; monitor and document changes.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Monitor,Slight compression or indentation patterns; monitor for recovery.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Repair/Replace,Significant damage necessitates professional repair or replacement.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Repair/Replace,Repair required to maintain structural integrity and safety.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Repair/Replace,Chemical damage requires specialized repair or replacement.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Safety Hazard,Loose sections may shift underfoot causing falls.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Safety Hazard,Immediate professional repair required for safety hazards.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Safety Hazard,Standing water accumulation creates slip hazards.
Exterior Grounds,Patio,Null,Patio Surface,Rubber,Access Restricted,Safety concerns prevented close inspection of surface.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Acceptable,Support spacing adequate for grating specification and load.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Acceptable,Grating pattern provides adequate support for pedestrian traffic.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Acceptable,Metal grating patio surface is properly installed and securely fastened.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Acceptable,Frame and support structure meet IRC R507.4 loading requirements.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Acceptable,Surface drainage excellent through grating openings.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Monitor,Monitor edge condition and safety barriers.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Monitor,Minor debris accumulation in openings; monitor and clean.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Monitor,Monitor for ice and debris accumulation in winter.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Monitor,Patio Surface showing expected wear for age; monitor condition regularly.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Monitor,Monitor fastener condition per IRC R507.1 corrosion standards.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Repair/Replace,Significant damage necessitates professional repair or replacement.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Repair/Replace,Modify installation to meet ADA accessibility requirements.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Repair/Replace,Professional structural assessment needed for load capacity.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Safety Hazard,Opening size violates ADA heel and mobility device requirements.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Safety Hazard,Loose grating sections create immediate fall hazard.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Safety Hazard,Missing sections create fall through hazards.
Exterior Grounds,Patio,Null,Patio Surface,Metal Grating,Access Restricted,Safety concerns prevented close inspection of metal surface.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Acceptable,Composite patio surface is level and properly installed with secure fastening.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Acceptable,Edge finishing and transitions properly completed.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Acceptable,Surface meets ADA and IRC R311.7.8 accessibility requirements.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Acceptable,Surface slope directs water away per IRC R401.3 requirements.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Acceptable,Gap spacing appropriate for thermal expansion and contraction.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Monitor,Early signs of thermal expansion issues; monitor gap spacing.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Monitor,Monitor for thermal movement and gap integrity.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Monitor,Monitor for manufacturer warranty compliance issues.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Monitor,Minor mold or mildew spots; monitor and clean as needed.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Monitor,Monitor for compliance with IRC R401.3 drainage standards.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Repair/Replace,Fastener failure or corrosion requires hardware replacement.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Repair/Replace,Complete replacement recommended due to extensive deterioration.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Repair/Replace,Cracked or split composite boards need replacement for safety.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Safety Hazard,Extremely slippery surface from inadequate texture or contamination.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Safety Hazard,Immediate professional repair required for safety hazards.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Safety Hazard,Surface irregularities violate IRC R311.7.8 trip hazard standards.
Exterior Grounds,Patio,Null,Patio Surface,Composite,Access Restricted,Composite surface not visible due to snow or debris.
Exterior Grounds,Patio,Null,Patio Surface,Tile,Acceptable,Surface meets ADA and IRC R311.7.8 accessibility requirements.
Exterior Grounds,Patio,Null,Patio Surface,Tile,Acceptable,Grout lines are intact and water-resistant.
Exterior Grounds,Patio,Null,Patio Surface,Tile,Acceptable,Color and finish remain consistent with minimal fading.
Exterior Grounds,Patio,Null,Patio Surface,Tile,Acceptable,No vegetation growth in grout lines or around perimeter.
